u	v	low	kind
0	1	0	support
1	2	1	support
2	3	0	support
3	4	1	support
4	5	0	support
5	6	1	support
6	7	2	support
0	7	3	support
8	9	0	support
9	10	1	support
10	11	0	support
11	12	1	support
12	13	2	support
13	14	3	support
14	15	0	support
8	15	2	support
0	16	3	boundary
12	17	3	boundary
18	19	3	internal
16	18	1	internal
17	19	1	internal
16	19	2	internal
17	18	2	internal
1	20	1	boundary
10	21	1	boundary
22	23	1	internal
20	22	2	internal
21	23	2	internal
20	23	3	internal
21	22	3	internal
2	24	1	boundary
13	25	1	boundary
26	27	1	internal
24	26	2	internal
25	27	2	internal
24	27	3	internal
25	26	3	internal
3	28	1	boundary
11	29	1	boundary
30	31	1	internal
28	30	2	internal
29	31	2	internal
28	31	3	internal
29	30	3	internal
4	32	1	boundary
5	33	1	boundary
6	34	3	boundary
7	35	1	boundary
8	36	2	boundary
9	37	1	boundary
14	38	3	boundary
15	39	2	boundary
34	36	1	internal
38	39	1	internal
40	41	1	internal
32	38	2	internal
33	35	2	internal
34	40	2	internal
37	41	2	internal
32	35	3	internal
33	41	3	internal
36	40	3	internal
37	39	3	internal
