edge	u	v
0	1	2
1	5	6
2	6	0
3	11	12
4	12	13
5	13	7
6	0	11
7	1	9
8	2	12
9	3	10
10	14	4
11	14	5
12	14	15
13	15	6
14	15	16
15	16	13
16	16	17
17	17	7
18	17	8
19	0	23
20	18	25
21	19	26
22	20	27
23	21	27
24	22	28
25	20	29
26	21	29
27	24	29
28	20	30
29	21	30
30	22	30
31	18	31
32	24	31
33	28	31
34	19	32
35	23	32
36	24	32
37	23	33
38	25	33
39	27	33
40	18	34
41	25	34
42	26	34
43	19	35
44	22	35
45	26	35
46	28	1
47	2	41
48	36	43
49	37	44
50	38	45
51	39	45
52	40	46
53	38	47
54	39	47
55	42	47
56	38	48
57	39	48
58	40	48
59	36	49
60	42	49
61	46	49
62	37	50
63	41	50
64	42	50
65	41	51
66	43	51
67	45	51
68	36	52
69	43	52
70	44	52
71	37	53
72	40	53
73	44	53
74	46	3
75	3	59
76	54	61
77	55	62
78	56	63
79	57	63
80	58	64
81	56	65
82	57	65
83	60	65
84	56	66
85	57	66
86	58	66
87	54	67
88	60	67
89	64	67
90	55	68
91	59	68
92	60	68
93	59	69
94	61	69
95	63	69
96	54	70
97	61	70
98	62	70
99	55	71
100	58	71
101	62	71
102	64	4
103	4	77
104	72	79
105	73	80
106	74	81
107	75	81
108	76	82
109	74	83
110	75	83
111	78	83
112	74	84
113	75	84
114	76	84
115	72	85
116	78	85
117	82	85
118	73	86
119	77	86
120	78	86
121	77	87
122	79	87
123	81	87
124	72	88
125	79	88
126	80	88
127	73	89
128	76	89
129	80	89
130	82	5
131	7	95
132	90	97
133	91	98
134	92	99
135	93	99
136	94	100
137	92	101
138	93	101
139	96	101
140	92	102
141	93	102
142	94	102
143	90	103
144	96	103
145	100	103
146	91	104
147	95	104
148	96	104
149	95	105
150	97	105
151	99	105
152	90	106
153	97	106
154	98	106
155	91	107
156	94	107
157	98	107
158	100	8
159	8	113
160	108	115
161	109	116
162	110	117
163	111	117
164	112	118
165	110	119
166	111	119
167	114	119
168	110	120
169	111	120
170	112	120
171	108	121
172	114	121
173	118	121
174	109	122
175	113	122
176	114	122
177	113	123
178	115	123
179	117	123
180	108	124
181	115	124
182	116	124
183	109	125
184	112	125
185	116	125
186	118	9
187	9	131
188	126	133
189	127	134
190	128	135
191	129	135
192	130	136
193	128	137
194	129	137
195	132	137
196	128	138
197	129	138
198	130	138
199	126	139
200	132	139
201	136	139
202	127	140
203	131	140
204	132	140
205	131	141
206	133	141
207	135	141
208	126	142
209	133	142
210	134	142
211	127	143
212	130	143
213	134	143
214	136	10
215	10	149
216	144	151
217	145	152
218	146	153
219	147	153
220	148	154
221	146	155
222	147	155
223	150	155
224	146	156
225	147	156
226	148	156
227	144	157
228	150	157
229	154	157
230	145	158
231	149	158
232	150	158
233	149	159
234	151	159
235	153	159
236	144	160
237	151	160
238	152	160
239	145	161
240	148	161
241	152	161
242	154	11
